,Can,Laf,Lag,Dep,Sak,Eas,Rup,GOG,Out,Man,Tou
128,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
129,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
130,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
131,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
132,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
133,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
134,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
135,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
136,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
137,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
138,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
139,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
140,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
141,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
142,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
143,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
144,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
145,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
146,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
147,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
148,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
149,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
150,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
151,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
152,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
153,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
154,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
155,200.9473684,88.86875,191.6,174.1428571,10.77928571,266.5,716.3333333,73.7025,233.3734538,315.4130668,143.5394581
